date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2017-04-15,Sorghum - Retail,3 KG,cereals and tubers,10.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2017-05-15,Sorghum - Retail,3 KG,cereals and tubers,10.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2017-06-15,Sorghum - Retail,3 KG,cereals and tubers,10.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2017-07-15,Sorghum - Retail,3 KG,cereals and tubers,10.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2017-08-15,Sorghum - Retail,3 KG,cereals and tubers,10.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2017-09-15,Sorghum - Retail,3 KG,cereals and tubers,13.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2017-10-15,Sorghum - Retail,3 KG,cereals and tubers,15.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2017-11-15,Sorghum - Retail,3 KG,cereals and tubers,17.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2017-12-15,Sorghum - Retail,3 KG,cereals and tubers,18.25,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2018-01-15,Sorghum - Retail,3 KG,cereals and tubers,25.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2018-02-15,Sorghum - Retail,3 KG,cereals and tubers,21.25,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2018-03-15,Sorghum - Retail,3 KG,cereals and tubers,27.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2018-05-15,Sorghum - Retail,3 KG,cereals and tubers,36.25,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2018-06-15,Sorghum - Retail,3 KG,cereals and tubers,37.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2018-07-15,Sorghum - Retail,3 KG,cereals and tubers,48.75,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2018-08-15,Sorghum - Retail,3 KG,cereals and tubers,51.25,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2018-09-15,Sorghum - Retail,3 KG,cereals and tubers,45.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2018-10-15,Sorghum - Retail,3 KG,cereals and tubers,36.25,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2018-11-15,Sorghum - Retail,3 KG,cereals and tubers,42.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2018-12-15,Sorghum - Retail,3 KG,cereals and tubers,50.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2019-01-15,Sorghum - Retail,3 KG,cereals and tubers,50.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2019-02-15,Sorghum - Retail,3 KG,cereals and tubers,50.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2019-03-15,Sorghum - Retail,3 KG,cereals and tubers,50.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2019-04-15,Sorghum - Retail,3 KG,cereals and tubers,52.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2019-05-15,Sorghum - Retail,3 KG,cereals and tubers,55.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2019-06-15,Sorghum - Retail,3 KG,cereals and tubers,55.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2019-07-15,Sorghum - Retail,3 KG,cereals and tubers,60.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2019-08-15,Sorghum - Retail,3 KG,cereals and tubers,60.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2019-09-15,Sorghum - Retail,3 KG,cereals and tubers,70.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2019-10-15,Sorghum - Retail,3 KG,cereals and tubers,78.75,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2019-11-15,Sorghum - Retail,3 KG,cereals and tubers,80.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2019-12-15,Sorghum - Retail,3 KG,cereals and tubers,80.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2020-01-15,Sorghum - Retail,3 KG,cereals and tubers,95.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2020-02-15,Sorghum - Retail,3 KG,cereals and tubers,97.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2020-03-15,Sorghum - Retail,3 KG,cereals and tubers,110.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2020-04-15,Sorghum - Retail,3 KG,cereals and tubers,122.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
