"X","date","cmname","unit","category","price","currency","mktname","lat","long","year","quarter","price_norm","stdev","distinct_prices","stdev_mean"
13290,Feb 2021,"Millet - Retail","KG","cereals and tubers",224,"XOF","Yalgo",13.588066,-0.2653784,2021,2021 Q1,0.467153284671533,0.064911540496127,3,0.064911540496127
14511,Feb 2021,"Millet - Retail","KG","cereals and tubers",165,"XOF","Leo",11.18140975,-2.117444746,2021,2021 Q1,0.251824817518248,0.0213849097703734,3,0.0213849097703734
14815,Feb 2021,"Millet - Retail","KG","cereals and tubers",211,"XOF","Réo",12.3186862,-2.4696282,2021,2021 Q1,0.41970802919708,0.00364963503649635,3,0.00364963503649635
15114,Feb 2021,"Millet - Retail","KG","cereals and tubers",222,"XOF","Sapouy",11.5532714,-1.768851,2021,2021 Q1,0.45985401459854,0.078304306772526,3,0.078304306772526
15526,Feb 2021,"Millet - Retail","KG","cereals and tubers",186,"XOF","Tita",11.9268021,-2.5100082,2021,2021 Q1,0.328467153284672,0.0348152993217864,3,0.0348152993217864
15870,Feb 2021,"Millet - Retail","KG","cereals and tubers",294,"XOF","Guelwongo",11.0060426,-0.8609234,2021,2021 Q1,0.722627737226277,0.0164571158862149,3,0.0164571158862149
16205,Feb 2021,"Millet - Retail","KG","cereals and tubers",236,"XOF","Kombissiri",11.9886068,-1.294601954,2021,2021 Q1,0.510948905109489,0.0187284724067404,3,0.0187284724067404
16673,Feb 2021,"Millet - Retail","KG","cereals and tubers",224,"XOF","Manga",11.6673837,-1.0723972,2021,2021 Q1,0.467153284671533,0.0131589462608175,3,0.0131589462608175
17149,Feb 2021,"Millet - Retail","KG","cereals and tubers",258,"XOF","Po",11.16647115,-1.144769689,2021,2021 Q1,0.591240875912409,0.0278745480228457,3,0.0278745480228457
19199,Feb 2021,"Millet - Retail","KG","cereals and tubers",194,"XOF","Namouno (CBM)",11.8654774,1.702160693,2021,2021 Q1,0.357664233576642,0.177261086782203,3,0.177261086782203
19965,Feb 2021,"Millet - Retail","KG","cereals and tubers",227,"XOF","Diapaga",12.071211,1.7882233,2021,2021 Q1,0.478102189781022,0.238802549047493,3,0.238802549047493
20309,Feb 2021,"Millet - Retail","KG","cereals and tubers",179,"XOF","Gayéri",12.64983637,0.489297371,2021,2021 Q1,0.302919708029197,0.0528042199859141,3,0.0528042199859141
20583,Feb 2021,"Millet - Retail","KG","cereals and tubers",173,"XOF","Haaba",12.9264193,0.7418205,2021,2021 Q1,0.281021897810219,0.0492813360110197,3,0.0492813360110197
21001,Feb 2021,"Millet - Retail","KG","cereals and tubers",189,"XOF","Kompienga",11.08107289,0.723471862,2021,2021 Q1,0.339416058394161,0.096721066716793,3,0.096721066716793
22053,Feb 2021,"Millet - Retail","KG","cereals and tubers",145,"XOF","Faramana",12.0479595,-4.6671099,2021,2021 Q1,0.178832116788321,0.0420896445060978,3,0.0420896445060978
23563,Feb 2021,"Millet - Retail","KG","cereals and tubers",235,"XOF","Orodara",10.9821014,-4.9148962,2021,2021 Q1,0.507299270072993,0.0348152993217863,3,0.0348152993217863
24077,Feb 2021,"Millet - Retail","KG","cereals and tubers",230,"XOF","Gourcy",13.2072912,-2.3598879,2021,2021 Q1,0.489051094890511,0.0167247288137075,3,0.0167247288137075
